URL,Name,Sprint_Speed,Finishing,Short_Passing,Dribbling,Standing_Tackle,Strength,Overall,Potential
https://sofifa.com/player/272465/caleb-roberts/260031/,Caleb Roberts,66.0,38.0,61.0,59.0,58.0,58.0,56.0,70.0
https://sofifa.com/player/random?1775801033,Javier Villar del Fraile,62.0,56.0,69.0,66.0,68.0,59.0,65.0,74.0
https://sofifa.com/player/274482/adrian-ascues/250044/,Adrián Ascues,73.0,61.0,68.0,61.0,54.0,74.0,65.0,73.0
https://sofifa.com/player/272535/josh-bailey/240050/,Josh Bailey,69.0,30.0,40.0,48.0,46.0,51.0,52.0,63.0
https://sofifa.com/player/271880/nestor-jimenez/260018/,Nestor Jiménez,59.0,67.0,60.0,66.0,20.0,52.0,61.0,70.0
https://sofifa.com/player/275786/mario-cesar-alves-balburdia/240001/,Mário César Alves Balbúrdia,67.0,53.0,73.0,66.0,66.0,64.0,66.0,70.0
https://sofifa.com/player/273730/elias-cabrera/260031/,Elías Cabrera,67.0,64.0,70.0,77.0,70.0,66.0,68.0,76.0
https://sofifa.com/player/275569/jovan-zivkovic/250021/,Jovan Živković,81.0,56.0,54.0,67.0,23.0,41.0,61.0,80.0
https://sofifa.com/player/277931/ramon-ramos-lima/240024/,Ramon Ramos Lima,86.0,40.0,65.0,71.0,63.0,66.0,69.0,76.0
https://sofifa.com/player/268728/anass-salah-eddine/260031/,Anass Salah-Eddine,84.0,43.0,76.0,77.0,73.0,64.0,75.0,81.0
https://sofifa.com/player/272314/peng-peng/260031/,Peng Peng,16.0,8.0,22.0,14.0,11.0,59.0,58.0,64.0
https://sofifa.com/player/274720/liam-jordan/250044/,Liam Jordan,71.0,58.0,58.0,60.0,22.0,62.0,59.0,62.0
https://sofifa.com/player/274535/max-arfsten/260031/,Max Arfsten,78.0,66.0,68.0,75.0,65.0,70.0,72.0,
https://sofifa.com/player/274028/hyung-woo-park/250017/,Hyung Woo Park,60.0,40.0,43.0,53.0,21.0,40.0,47.0,56.0
https://sofifa.com/player/279829/luis-arroyo/240046/,Luis Arroyo,79.0,48.0,61.0,60.0,32.0,51.0,60.0,60.0
https://sofifa.com/player/274160/tomas-sives/260031/,Tomás Sives,65.0,57.0,64.0,61.0,40.0,57.0,62.0,70.0
https://sofifa.com/player/279294/yeison-sendiero/250025/,Yeison Sendiero,73.0,61.0,82.0,72.0,62.0,69.0,72.0,72.0
https://sofifa.com/player/258972/isaak-toure/260031/,Isaak Touré,67.0,29.0,60.0,49.0,70.0,92.0,71.0,79.0
https://sofifa.com/player/271649/issa-kaloga/240050/,Issa Kaloga,75.0,47.0,47.0,65.0,44.0,56.0,56.0,68.0
https://sofifa.com/player/279831/tomas-porra/260031/,Tomás Porra,66.0,53.0,71.0,69.0,54.0,55.0,65.0,76.0
https://sofifa.com/player/275951/marcel-pieczek/260031/,Marcel Pięczek,81.0,52.0,62.0,57.0,67.0,69.0,66.0,71.0
https://sofifa.com/player/278843/servan-suignard/240024/,Servan Suignard,62.0,29.0,43.0,35.0,59.0,51.0,52.0,61.0
https://sofifa.com/player/246350/enzo-le-fee/260031/,Enzo Le Fée,63.0,60.0,80.0,79.0,74.0,55.0,78.0,80.0
